Wind Farm,Turbine Name,Latitude,Longitude,Station ID,Manufacturer,Model,Rated power (kW),Hub Height (m),Rotor Diameter (m),Country,Commercial Operations Date
Hill of Towie,T01,57.49921441,-3.086742896,2304510,Siemens,SWT-2.3-VS-82,2300,59,82,UK,2012-05-12
Hill of Towie,T02,57.49626574,-3.082817716,2304511,Siemens,SWT-2.3-VS-82,2300,59,82,UK,2012-05-12
Hill of Towie,T03,57.50206973,-3.088980479,2304512,Siemens,SWT-2.3-VS-82,2300,59,82,UK,2012-05-12
Hill of Towie,T04,57.50196736,-3.082085466,2304513,Siemens,SWT-2.3-VS-82,2300,59,82,UK,2012-05-12
Hill of Towie,T05,57.49891107,-3.07812382,2304514,Siemens,SWT-2.3-VS-82,2300,59,82,UK,2012-05-12
Hill of Towie,T06,57.50024464,-3.071321578,2304515,Siemens,SWT-2.3-VS-82,2300,59,82,UK,2012-05-12
Hill of Towie,T07,57.50513302,-3.085850762,2304516,Siemens,SWT-2.3-VS-82,2300,59,82,UK,2012-05-12
Hill of Towie,T08,57.50465629,-3.077542275,2304517,Siemens,SWT-2.3-VS-82,2300,59,82,UK,2012-05-12
Hill of Towie,T09,57.50827835,-3.08257274,2304518,Siemens,SWT-2.3-VS-82,2300,59,82,UK,2012-05-12
Hill of Towie,T10,57.50542459,-3.070655631,2304519,Siemens,SWT-2.3-VS-82,2300,59,82,UK,2012-05-12
Hill of Towie,T11,57.51184311,-3.080658605,2304520,Siemens,SWT-2.3-VS-82,2300,59,82,UK,2012-05-12
Hill of Towie,T12,57.51081569,-3.073684523,2304521,Siemens,SWT-2.3-VS-82,2300,59,82,UK,2012-05-12
Hill of Towie,T13,57.51666161,-3.078146735,2304522,Siemens,SWT-2.3-VS-82,2300,59,82,UK,2012-05-12
Hill of Towie,T14,57.51376046,-3.074939555,2304523,Siemens,SWT-2.3-VS-82,2300,59,82,UK,2012-05-12
Hill of Towie,T15,57.49941809,-3.062837374,2304524,Siemens,SWT-2.3-VS-82,2300,59,82,UK,2012-05-12
Hill of Towie,T16,57.50513916,-3.053340822,2304525,Siemens,SWT-2.3-VS-82,2300,59,82,UK,2012-05-12
Hill of Towie,T17,57.50662266,-3.047792556,2304526,Siemens,SWT-2.3-VS-82,2300,59,82,UK,2012-05-12
Hill of Towie,T18,57.50429684,-3.041183981,2304527,Siemens,SWT-2.3-VS-82,2300,59,82,UK,2012-05-12
Hill of Towie,T19,57.50859585,-3.041656952,2304528,Siemens,SWT-2.3-VS-82,2300,59,82,UK,2012-05-12
Hill of Towie,T20,57.51202849,-3.040436127,2304529,Siemens,SWT-2.3-VS-82,2300,59,82,UK,2012-05-12
Hill of Towie,T21,57.50978499,-3.034697307,2304530,Siemens,SWT-2.3-VS-82,2300,59,82,UK,2012-05-12
